127.0.0.1 - - [10/Oct/2019:18:14:28 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:14:29 +0530] "GET /sample/table.html HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:17:01 +0530] "GET /sample/table.html HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:18:25 +0530] "GET /sample/table.html HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:18:52 +0530] "GET /sample/table.html HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:20:37 +0530] "GET /sample/table.html HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:21:17 +0530] "GET /sample/table.html HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:21:57 +0530] "GET /sample/table.html HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:22:48 +0530] "GET /sample/table.html HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:22:49 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:22:49 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:22:49 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:22:49 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:22:50 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:22:50 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:22:50 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:22:50 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:22:50 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:22:50 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:23:04 +0530] "GET /sample/table.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:25:22 +0530] "GET /sample/table.html HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:26:44 +0530] "GET /sample/table.html HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:26:45 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:26:45 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:26:45 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:26:45 +0530] "GET /sample/table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:27:33 +0530] "GET /sample/table.html HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:27:54 +0530] "GET /sample/table.html HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:28:11 +0530] "GET /sample/table.html HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [10/Oct/2019:18:29:01 +0530] "GET /sample/table.html HTTP/1.1" 200 839
